food.description,nutrient_name,nutrient_id,food_nutrient.percent_daily_value,branded_food.brand_owner,food.fdc_id
1% LOW FAT MILK,Protein,1003,16.0,BJ's Wholesale Club / Corporate Brands,1118134
1% LOW FAT MILK,Protein,1003,16.0,BJ's Wholesale Club / Corporate Brands,1118134
1% LOW FAT MILK,Protein,1003,22.0,Glencourt Inc.,1112563
1% LOW FAT MILK,"Vitamin A, IU",1104,15.0,Glencourt Inc.,1112563
1% LOW FAT MILK,Protein,1003,22.0,Raley's,1124530
1% LOW FAT MILK,"Vitamin A, IU",1104,15.0,Raley's,1124530
1% LOW FAT MILK,"Vitamin A, IU",1104,15.0,Raley's,1124530
1% LOW FAT MILK,"Vitamin A, IU",1104,15.0,Glencourt Inc.,1112563
1% LOW FAT MILK,"Calcium, Ca",1087,30.0,Glencourt Inc.,1112563
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,BJ's Wholesale Club / Corporate Brands,1118134
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,BJ's Wholesale Club / Corporate Brands,1118134
1% LOW FAT MILK,"Calcium, Ca",1087,30.0,Glencourt Inc.,1112563
1% LOW FAT MILK,"Calcium, Ca",1087,30.0,"Darigold, Inc. ",1113995
1% LOW FAT MILK,"Calcium, Ca",1087,30.0,"Darigold, Inc. ",1113995
1% LOW FAT MILK,"Calcium, Ca",1087,30.0,"Darigold, Inc. ",1113994
1% LOW FAT MILK,"Calcium, Ca",1087,30.0,"Darigold, Inc. ",1113994
1% LOW FAT MILK,Protein,1003,16.0,FRIENDLY FARMS,1138156
1% LOW FAT MILK,Protein,1003,16.0,FRIENDLY FARMS,1138156
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,FRIENDLY FARMS,1138156
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,FRIENDLY FARMS,1138156
1% LOW FAT SMALL CURD COTTAGE CHEESE,Protein,1003,24.0,Target Stores,1115771
1% LOW FAT SMALL CURD COTTAGE CHEESE,Protein,1003,24.0,Target Stores,1115771
1% LOWFAT BUTTER MILK,"Calcium, Ca",1087,25.0,Anderson Dairy Inc,1135020
1% LOWFAT BUTTER MILK,"Calcium, Ca",1087,25.0,Anderson Dairy Inc,1135020
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,Borden Dairy Company,1112593
1% LOWFAT MILK,Protein,1003,17.0,"Booth Brothers Dairy, Inc.",1127976
1% LOWFAT MILK,Protein,1003,17.0,"Booth Brothers Dairy, Inc.",1127976
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,"Booth Brothers Dairy, Inc.",1127976
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,"Whole Foods Market, Inc.",1111491
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,"Booth Brothers Dairy, Inc.",1127976
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,"Whole Foods Market, Inc.",1111491
1% LOWFAT MILK,"Vitamin A, IU",1104,15.0,"Whole Foods Market, Inc.",1111491
1% LOWFAT MILK,"Vitamin A, IU",1104,15.0,"Whole Foods Market, Inc.",1111491
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,Kemps LLC ,1113586
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,Akpharma Inc.,1111342
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,Oak Grove Dairy,1118172
1% LOWFAT MILK,Protein,1003,17.0,Kemps LLC ,1113586
1% LOWFAT MILK,Protein,1003,17.0,Kemps LLC ,1113586
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,Akpharma Inc.,1111342
1% LOWFAT MILK,"Vitamin A, IU",1104,30.0,"Whole Foods Market, Inc.",1115851
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,"Tops Markets, LLC",1116603
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,"Tops Markets, LLC",1116603
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,Harris-Teeter Inc.,1135783
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,Harris-Teeter Inc.,1135783
1% LOWFAT MILK,Protein,1003,16.0,"Whole Foods Market, Inc.",1115851
1% LOWFAT MILK,"Vitamin A, IU",1104,30.0,"Whole Foods Market, Inc.",1115851
1% LOWFAT MILK,Protein,1003,16.0,Borden Dairy Company,1112594
1% LOWFAT MILK,Protein,1003,17.0,Akpharma Inc.,1111342
1% LOWFAT MILK,Protein,1003,16.0,Borden Dairy Company,1112594
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,"Tops Markets, LLC",1122147
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,"Tops Markets, LLC",1122147
1% LOWFAT MILK,"Vitamin A, IU",1104,15.0,"Supervalu, Inc.",1113456
1% LOWFAT MILK,"Vitamin A, IU",1104,15.0,"Supervalu, Inc.",1113456
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,Oak Grove Dairy,1118172
1% LOWFAT MILK,"Calcium, Ca",1087,20.0,"Supervalu, Inc.",1113456
1% LOWFAT MILK,"Calcium, Ca",1087,20.0,"Supervalu, Inc.",1113456
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,"Whole Foods Market, Inc.",1115851
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,Borden Dairy Company,1112593
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,"Booth Brothers Dairy, Inc.",1127974
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,"Booth Brothers Dairy, Inc.",1127974
1% LOWFAT MILK,Protein,1003,17.0,"Booth Brothers Dairy, Inc.",1127974
1% LOWFAT MILK,Protein,1003,17.0,"Booth Brothers Dairy, Inc.",1127974
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,Borden Dairy Company,1112594
1% LOWFAT MILK,Protein,1003,17.0,Akpharma Inc.,1113855
1% LOWFAT MILK,Protein,1003,17.0,Akpharma Inc.,1113855
1% LOWFAT MILK,"Vitamin A, IU",1104,15.0,Dean Foods Company,1128124
1% LOWFAT MILK,"Calcium, Ca",1087,40.0,Akpharma Inc.,1113855
1% LOWFAT MILK,"Calcium, Ca",1087,40.0,Akpharma Inc.,1113855
1% LOWFAT MILK,"Vitamin A, IU",1104,15.0,Dean Foods Company,1128124
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,Dean Foods Company,1128124
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,Dean Foods Company,1128124
1% LOWFAT MILK,Protein,1003,17.0,HP Hood LLC,1113862
1% LOWFAT MILK,Protein,1003,17.0,HP Hood LLC,1113862
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,HP Hood LLC,1113862
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,HP Hood LLC,1113862
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,"Whole Foods Market, Inc.",1115851
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,"Wal-Mart Stores, Inc.",1114644
1% LOWFAT MILK,"Vitamin A, IU",1104,15.0,"Supervalu, Inc.",1116274
1% LOWFAT MILK,"Vitamin A, IU",1104,15.0,"Supervalu, Inc.",1116274
1% LOWFAT MILK,Protein,1003,17.0,Akpharma Inc.,1111342
1% LOWFAT MILK,"Calcium, Ca",1087,20.0,"Supervalu, Inc.",1116274
1% LOWFAT MILK,"Calcium, Ca",1087,20.0,"Supervalu, Inc.",1116274
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,Borden Dairy Company,1112594
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,Harris-Teeter Inc.,1114042
1% LOWFAT MILK,Protein,1003,16.0,"Whole Foods Market, Inc.",1115851
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,"Whole Foods Market, Inc.",1111527
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,"Whole Foods Market, Inc.",1111527
1% LOWFAT MILK,Protein,1003,17.0,Oak Grove Dairy,1118172
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,"Tops Markets, LLC",1122151
1% LOWFAT MILK,"Vitamin A, IU",1104,20.0,"Wal-Mart Stores, Inc.",1114644
1% LOWFAT MILK,"Vitamin A, IU",1104,20.0,"Wal-Mart Stores, Inc.",1114644
1% LOWFAT MILK,Protein,1003,17.0,Oak Grove Dairy,1118172
1% LOWFAT MILK,"Vitamin A, IU",1104,15.0,"Whole Foods Market, Inc.",1111527
1% LOWFAT MILK,"Vitamin A, IU",1104,15.0,"Whole Foods Market, Inc.",1111527
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,Harris-Teeter Inc.,1114042
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,"Tops Markets, LLC",1122151
1% LOWFAT MILK,"Calcium, Ca",1087,30.0,Kemps LLC ,1113586
1% LOWFAT MILK,"Calcium, Ca",1087,25.0,"Wal-Mart Stores, Inc.",1114644
1% LOWFAT MILK,Protein,1003,16.0,Borden Dairy Company,1112593
1% LOWFAT MILK,Protein,1003,16.0,Borden Dairy Company,1112593
1% LOWFAT SMALL CURD COTTAGE CHEESE,Protein,1003,25.0,"Hy-Vee, Inc.",1118109
1% LOWFAT SMALL CURD COTTAGE CHEESE,Protein,1003,25.0,"Hy-Vee, Inc.",1118110
1% LOWFAT SMALL CURD COTTAGE CHEESE,Protein,1003,25.0,"Hy-Vee, Inc.",1118110
1% LOWFAT SMALL CURD COTTAGE CHEESE,Protein,1003,25.0,"Hy-Vee, Inc.",1118109
1% MILKFAT LOWFAT COTTAGE CHEESE,Protein,1003,28.0,HP Hood LLC,1134256
1% MILKFAT LOWFAT COTTAGE CHEESE,Protein,1003,28.0,HP Hood LLC,1134256
1% SMALL CURD LOWFAT COTTAGE CHEESE,Protein,1003,36.0,Kemps LLC ,1114096
1% SMALL CURD LOWFAT COTTAGE CHEESE,Protein,1003,36.0,Kemps LLC ,1114096
10 FL OZ 100% JUICE - APPLE,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105966
10 FL OZ 100% JUICE - APPLE,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105966
10 FL OZ 100% JUICE - ORANGE,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105954
10 FL OZ 100% JUICE - ORANGE,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105954
10 FL OZ JUICE COCKTAIL - CRANBERRY,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105960
10 FL OZ JUICE COCKTAIL - CRANBERRY,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105960
10 FL OZ JUICE COCKTAIL - GRAPE,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105963
10 FL OZ JUICE COCKTAIL - GRAPE,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105963
10 FL OZ JUICE DRINK - FRUIT PUNCH,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105967
10 FL OZ JUICE DRINK - FRUIT PUNCH,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105967
10 FL OZ JUICE DRINK - ORANGE PINEAPPLE,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105961
10 FL OZ JUICE DRINK - ORANGE PINEAPPLE,"Vitamin C, total ascorbic acid",1162,100.0,WELCH FOODS INC.,1105961
10 FL OZ JUICE DRINK - STRAWBERRY KIWI,"Vitamin C, total ascorbic acid",1162,15.0,WELCH FOODS INC.,1105962
10 FL OZ JUICE DRINK - STRAWBERRY KIWI,"Vitamin C, total ascorbic acid",1162,15.0,WELCH FOODS INC.,1105962
"100 % PLANT-BASED GROUND BEEF SAUSAGE, BEEF",Protein,1003,32.0,Abbots Butcher Inc.,1138466
"100 % PLANT-BASED GROUND BEEF SAUSAGE, BEEF",Protein,1003,32.0,Abbots Butcher Inc.,1138466
100%  PINE APPLE JUICE FROM CONCENTRATE,"Vitamin C, total ascorbic acid",1162,80.0,Super Store Industries,1128233
100%  PINE APPLE JUICE FROM CONCENTRATE,"Vitamin C, total ascorbic acid",1162,80.0,Super Store Industries,1128233
"100% ALL NATURAL CHICKEN BREAST MINI NUGGETS PATTY FRITTERS WITH RIB MEAT, CHICKEN BREAST",Protein,1003,17.0,"Lunch Money Music, Inc.",1130574
"100% ALL NATURAL CHICKEN BREAST MINI NUGGETS PATTY FRITTERS WITH RIB MEAT, CHICKEN BREAST",Protein,1003,17.0,"Lunch Money Music, Inc.",1130574
"100% APPLE CHERRY FLAVORED JUICE BLEND FROM ORGANIC CONCENTRATE, APPLE CHERRY","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1110966
"100% APPLE CHERRY FLAVORED JUICE BLEND FROM ORGANIC CONCENTRATE, APPLE CHERRY","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1110966
"100% APPLE CIDER JUICE FROM CONCENTRATE, APPLE CIDER","Vitamin C, total ascorbic acid",1162,130.0,Harris-Teeter Inc.,1135739
"100% APPLE CIDER JUICE FROM CONCENTRATE, APPLE CIDER","Vitamin C, total ascorbic acid",1162,130.0,Harris-Teeter Inc.,1135739
"100% APPLE CIDER JUICE FROM CONCENTRATE, APPLE CIDER","Vitamin C, total ascorbic acid",1162,130.0,Harris-Teeter Inc.,1119264
"100% APPLE CIDER JUICE FROM CONCENTRATE, APPLE CIDER","Vitamin C, total ascorbic acid",1162,130.0,Harris-Teeter Inc.,1119264
"100% APPLE CIDER JUICE, APPLE","Vitamin C, total ascorbic acid",1162,20.0,"Wegmans Food Markets, Inc. ",1127866
"100% APPLE CIDER JUICE, APPLE","Vitamin C, total ascorbic acid",1162,20.0,"Wegmans Food Markets, Inc. ",1127866
"100% APPLE CRANBERRY FLAVORED APPLE JUICE BLEND FROM CONCENTRATE, APPLE CRANBERRY","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1114889
"100% APPLE CRANBERRY FLAVORED APPLE JUICE BLEND FROM CONCENTRATE, APPLE CRANBERRY","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1114889
"100% APPLE CRANBERRY FLAVORED JUICE BLEND FROZEN CONCENTRATE, APPLE CRANBERRY","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1114900
"100% APPLE CRANBERRY FLAVORED JUICE BLEND FROZEN CONCENTRATE, APPLE CRANBERRY","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1114900
"100% APPLE JUICE CIDER FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,Super Store Industries,1128247
"100% APPLE JUICE CIDER FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,Super Store Industries,1128247
"100% APPLE JUICE FROM CONCENTRATE WITH ADDED INGREDIENT, APPLE","Vitamin C, total ascorbic acid",1162,120.0,The Kroger Co.,1134017
"100% APPLE JUICE FROM CONCENTRATE WITH ADDED INGREDIENT, APPLE","Vitamin C, total ascorbic acid",1162,120.0,The Kroger Co.,1134017
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,70.0,Harris-Teeter Inc.,1135741
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,60.0,"Good2Grow, Inc.",1119900
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1114933
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,130.0,"Hy-Vee, Inc.",1111371
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,150.0,"Hy-Vee, Inc.",1135435
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,130.0,"Hy-Vee, Inc.",1111371
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,Super Store Industries,1128253
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,Super Store Industries,1128253
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,120.0,Texas Citrus Exchange,1128716
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,Super Store Industries,1128230
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,"Clement Pappas & Co., Inc.",1114735
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,Super Store Industries,1128230
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Calcium, Ca",1087,15.0,Super Store Industries,1128230
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Calcium, Ca",1087,15.0,Super Store Industries,1128230
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,90.0,BJ's Wholesale Club / Corporate Brands,1119143
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,90.0,BJ's Wholesale Club / Corporate Brands,1119143
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,"Clement Pappas & Co., Inc.",1111350
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,70.0,Harris-Teeter Inc.,1135741
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,"Clement Pappas & Co., Inc.",1114735
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,130.0,Harris-Teeter Inc.,1125616
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,130.0,Harris-Teeter Inc.,1125616
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,60.0,"Good2Grow, Inc.",1119900
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1114927
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,150.0,"Hy-Vee, Inc.",1135435
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,120.0,"Apple & Eve,  LLC",1111715
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,120.0,Texas Citrus Exchange,1128716
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,120.0,"Apple & Eve,  LLC",1111715
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1114927
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,100.0,Krause Gentle Corporation,1111109
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,100.0,SIMPLY NATURE,1136507
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,100.0,SIMPLY NATURE,1136507
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,130.0,NOT A BRANDED ITEM,1125274
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,"Tops Markets, LLC",1127926
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,100.0,Krause Gentle Corporation,1111109
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1114933
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,"Clement Pappas & Co., Inc.",1111350
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,"Tops Markets, LLC",1127926
"100% APPLE JUICE FROM CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,130.0,NOT A BRANDED ITEM,1125274
"100% APPLE JUICE, APPLE","Vitamin C, total ascorbic acid",1162,60.0,"Good2Grow, Inc.",1114855
"100% APPLE JUICE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,Super Store Industries,1128234
"100% APPLE JUICE, APPLE","Vitamin C, total ascorbic acid",1162,80.0,Super Store Industries,1128234
"100% APPLE JUICE, APPLE","Vitamin C, total ascorbic acid",1162,60.0,"Good2Grow, Inc.",1114855
"100% APPLE ORGANIC JUICE FROZEN CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1115796
"100% APPLE ORGANIC JUICE FROZEN CONCENTRATE, APPLE","Vitamin C, total ascorbic acid",1162,120.0,Old Orchard Brands LLC.,1115796
